CODGEO,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART,DEP
56087,136,105,10,64,61,56
56088,1365,1083,119,414,656,56
56089,62,42,6,19,19,56
56090,344,272,33,138,150,56
56091,1279,1000,168,338,648,56
56092,19063,12538,1688,7220,5346,56
56093,1344,1120,124,354,414,56
56094,1197,882,153,457,282,56
56095,888,721,62,380,230,56
56096,876,713,88,340,339,56
56097,834,667,43,204,301,56
56098,2579,1774,130,1179,723,56
56099,525,425,78,286,284,56
